Timestep,Name,Status,HeathyPercentage,RecoveredPercentage,DeathPercentage,InfectedPercentage,SusceptiblePercentage,TransRate,DeathRate,RecovRate,SuspeTime
0,Amy,Susceptible,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Bob,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Carl,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Yale,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Xcode,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Zoo,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Dave,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Eason,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
0,Fool,Healthy,1.6,0.0,0.0,0.0,0.2,0.5,0.1,0.1,2
1,Amy,Susceptible,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Bob,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Carl,Susceptible,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Yale,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Xcode,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Zoo,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Dave,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Eason,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
1,Fool,Healthy,1.4,0.0,0.0,0.0,0.4,0.5,0.1,0.1,2
2,Amy,Infected,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Bob,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Carl,Susceptible,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Yale,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Xcode,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Zoo,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Dave,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Eason,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
2,Fool,Healthy,1.4,0.0,0.0,0.2,0.2,0.5,0.1,0.1,2
3,Amy,Died,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Bob,Susceptible,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Carl,Infected,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Yale,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Xcode,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Zoo,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Dave,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Eason,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
3,Fool,Healthy,1.2,0.0,0.2,0.2,0.2,0.5,0.1,0.1,2
4,Amy,Died,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Bob,Susceptible,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Carl,Infected,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Yale,Susceptible,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Xcode,Healthy,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Zoo,Healthy,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Dave,Healthy,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Eason,Healthy,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
4,Fool,Healthy,1.0,0.0,0.2,0.2,0.4,0.5,0.1,0.1,2
5,Amy,Died,1.0,0.2,0.2,0.2,0.2,0.5,0.1,0.1,2
